phase,TrialID,ParticipantID,Truth,Image,provider,provider_kind,model,raw,confidence,pred,correct,latency_s,initial_confidence
2,1,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_001_combined.png,P1,OpenAI,gpt-4o-mini,6,6,1,1,0.0,4
2,1,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_001_combined.png,P2,OpenAI,gpt-4o-mini,7,7,1,1,0.0,10
2,1,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_001_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,6,6,1,1,0.0,5
2,2,1,0,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/absent/combined/equal_absent_002_combined.png,P1,OpenAI,gpt-4o-mini,4,4,0,1,0.0,4
2,2,2,0,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/absent/combined/equal_absent_002_combined.png,P2,OpenAI,gpt-4o-mini,6,6,1,0,0.0,9
2,2,3,0,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/absent/combined/equal_absent_002_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,4,4,0,1,0.0,1
2,3,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_003_combined.png,P1,OpenAI,gpt-4o-mini,6,6,1,1,0.0,3
2,3,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_003_combined.png,P2,OpenAI,gpt-4o-mini,6,6,1,1,0.0,7
2,3,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_003_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,8,8,1,1,0.0,10
2,4,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_004_combined.png,P1,OpenAI,gpt-4o-mini,6,6,1,1,0.0,10
2,4,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_004_combined.png,P2,OpenAI,gpt-4o-mini,4,4,0,0,0.0,2
2,4,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_004_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,5,5,0,0,0.0,4
2,5,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_005_combined.png,P1,OpenAI,gpt-4o-mini,8,8,1,1,0.0,10
2,5,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_005_combined.png,P2,OpenAI,gpt-4o-mini,8,8,1,1,0.0,9
2,5,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_005_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,6,6,1,1,0.0,1
