TrialID,Condition,Truth,Image,rule,group_pred,group_correct
1,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00001.png,majority,1,0
1,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00001.png,majority_exc8,1,0
1,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00001.png,avg,1,0
1,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00001.png,assoc8,0,1
1,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00001.png,wlin,1,0
2,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00002.png,majority,1,0
2,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00002.png,majority_exc8,1,0
2,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00002.png,avg,1,0
2,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00002.png,assoc8,0,1
2,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00002.png,wlin,1,0
3,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00003.png,majority,1,0
3,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00003.png,majority_exc8,1,0
3,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00003.png,avg,1,0
3,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00003.png,assoc8,1,0
3,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00003.png,wlin,1,0
4,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00004.png,majority,0,1
4,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00004.png,majority_exc8,0,1
4,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00004.png,avg,0,1
4,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00004.png,assoc8,0,1
4,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00004.png,wlin,1,0
5,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00005.png,majority,0,1
5,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00005.png,majority_exc8,0,1
5,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00005.png,avg,0,1
5,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00005.png,assoc8,0,1
5,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00005.png,wlin,1,0
6,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00006.png,majority,1,0
6,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00006.png,majority_exc8,1,0
6,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00006.png,avg,1,0
6,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00006.png,assoc8,0,1
6,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00006.png,wlin,1,0
7,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00007.png,majority,0,1
7,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00007.png,majority_exc8,0,1
7,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00007.png,avg,0,1
7,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00007.png,assoc8,0,1
7,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00007.png,wlin,1,0
8,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00008.png,majority,0,1
8,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00008.png,majority_exc8,0,1
8,equal,0,/workspaces/Honors_Project/allimgs/equal_absent_00008.png,avg,0,1
