id,condition,label,src,img
1,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_001_combined.png,allimgs/equal_absent_00001.png
2,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_002_combined.png,allimgs/equal_absent_00002.png
3,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_003_combined.png,allimgs/equal_absent_00003.png
4,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_004_combined.png,allimgs/equal_absent_00004.png
5,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_005_combined.png,allimgs/equal_absent_00005.png
6,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_006_combined.png,allimgs/equal_absent_00006.png
7,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_007_combined.png,allimgs/equal_absent_00007.png
8,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_008_combined.png,allimgs/equal_absent_00008.png
9,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_009_combined.png,allimgs/equal_absent_00009.png
10,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_010_combined.png,allimgs/equal_absent_00010.png
11,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_011_combined.png,allimgs/equal_absent_00011.png
12,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_012_combined.png,allimgs/equal_absent_00012.png
13,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_013_combined.png,allimgs/equal_absent_00013.png
14,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_014_combined.png,allimgs/equal_absent_00014.png
15,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_015_combined.png,allimgs/equal_absent_00015.png
16,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_016_combined.png,allimgs/equal_absent_00016.png
17,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_017_combined.png,allimgs/equal_absent_00017.png
18,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_018_combined.png,allimgs/equal_absent_00018.png
19,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_019_combined.png,allimgs/equal_absent_00019.png
20,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_020_combined.png,allimgs/equal_absent_00020.png
21,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_021_combined.png,allimgs/equal_absent_00021.png
22,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_022_combined.png,allimgs/equal_absent_00022.png
23,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_023_combined.png,allimgs/equal_absent_00023.png
24,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_024_combined.png,allimgs/equal_absent_00024.png
25,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_025_combined.png,allimgs/equal_absent_00025.png
26,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_026_combined.png,allimgs/equal_absent_00026.png
27,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_027_combined.png,allimgs/equal_absent_00027.png
28,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_028_combined.png,allimgs/equal_absent_00028.png
29,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_029_combined.png,allimgs/equal_absent_00029.png
30,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_030_combined.png,allimgs/equal_absent_00030.png
31,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_031_combined.png,allimgs/equal_absent_00031.png
32,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_032_combined.png,allimgs/equal_absent_00032.png
33,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_033_combined.png,allimgs/equal_absent_00033.png
34,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_034_combined.png,allimgs/equal_absent_00034.png
35,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_035_combined.png,allimgs/equal_absent_00035.png
36,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_036_combined.png,allimgs/equal_absent_00036.png
37,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_037_combined.png,allimgs/equal_absent_00037.png
38,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_038_combined.png,allimgs/equal_absent_00038.png
39,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_039_combined.png,allimgs/equal_absent_00039.png
40,equal,absent,perceptual_dataset_calibrated/equal/absent/combined/equal_absent_040_combined.png,allimgs/equal_absent_00040.png
