trial_index,condition,label,image_path,source,contrast,noise_std,provider,model_name,response_text,confidence,decision,latency_sec
0,weak,present,allimgs/weak_present_01179.png,allimgs,,,openai,gpt-4o-mini,confidence: 6,6,1,0.000
1,weak,absent,allimgs/weak_absent_00866.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
2,equal,absent,allimgs/equal_absent_00102.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
3,strong,absent,allimgs/strong_absent_00440.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
4,equal,absent,allimgs/equal_absent_00059.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
5,weak,present,allimgs/weak_present_01121.png,allimgs,,,openai,gpt-4o-mini,confidence: 5,5,0,0.000
6,equal,present,allimgs/equal_present_00324.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
7,weak,absent,allimgs/weak_absent_00975.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
8,strong,absent,allimgs/strong_absent_00412.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
9,weak,absent,allimgs/weak_absent_00856.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
10,weak,absent,allimgs/weak_absent_00821.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.001
11,equal,absent,allimgs/equal_absent_00045.png,allimgs,,,openai,gpt-4o-mini,confidence: 5,5,0,0.000
12,equal,absent,allimgs/equal_absent_00050.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
13,weak,absent,allimgs/weak_absent_00850.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
14,equal,present,allimgs/equal_present_00241.png,allimgs,,,openai,gpt-4o-mini,confidence: 6,6,1,0.000
15,equal,absent,allimgs/equal_absent_00171.png,allimgs,,,openai,gpt-4o-mini,confidence: 2,2,0,0.000
16,strong,absent,allimgs/strong_absent_00524.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
17,strong,present,allimgs/strong_present_00766.png,allimgs,,,openai,gpt-4o-mini,confidence: 8,8,1,0.000
18,weak,absent,allimgs/weak_absent_00839.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
19,strong,absent,allimgs/strong_absent_00424.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
20,equal,present,allimgs/equal_present_00381.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
21,strong,present,allimgs/strong_present_00610.png,allimgs,,,openai,gpt-4o-mini,confidence: 5,5,0,0.000
22,strong,present,allimgs/strong_present_00677.png,allimgs,,,openai,gpt-4o-mini,confidence: 6,6,1,0.000
23,equal,present,allimgs/equal_present_00345.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
24,equal,absent,allimgs/equal_absent_00110.png,allimgs,,,openai,gpt-4o-mini,confidence: 5,5,0,0.000
25,equal,present,allimgs/equal_present_00278.png,allimgs,,,openai,gpt-4o-mini,confidence: 6,6,1,0.000
26,strong,present,allimgs/strong_present_00678.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
27,strong,absent,allimgs/strong_absent_00571.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
28,equal,present,allimgs/equal_present_00359.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
29,strong,absent,allimgs/strong_absent_00599.png,allimgs,,,openai,gpt-4o-mini,confidence: 2,2,0,0.000
30,equal,present,allimgs/equal_present_00391.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
31,weak,absent,allimgs/weak_absent_00894.png,allimgs,,,openai,gpt-4o-mini,confidence: 2,2,0,0.000
32,strong,present,allimgs/strong_present_00693.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
33,strong,present,allimgs/strong_present_00728.png,allimgs,,,openai,gpt-4o-mini,confidence: 6,6,1,0.000
34,equal,present,allimgs/equal_present_00363.png,allimgs,,,openai,gpt-4o-mini,confidence: 5,5,0,0.000
35,strong,absent,allimgs/strong_absent_00597.png,allimgs,,,openai,gpt-4o-mini,confidence: 5,5,0,0.000
36,strong,absent,allimgs/strong_absent_00428.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
37,equal,absent,allimgs/equal_absent_00071.png,allimgs,,,openai,gpt-4o-mini,confidence: 2,2,0,0.000
38,equal,present,allimgs/equal_present_00322.png,allimgs,,,openai,gpt-4o-mini,confidence: 8,8,1,0.000
39,strong,present,allimgs/strong_present_00653.png,allimgs,,,openai,gpt-4o-mini,confidence: 5,5,0,0.000
40,weak,present,allimgs/weak_present_01066.png,allimgs,,,openai,gpt-4o-mini,confidence: 6,6,1,0.000
41,equal,absent,allimgs/equal_absent_00108.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
42,weak,present,allimgs/weak_present_01109.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
43,equal,present,allimgs/equal_present_00356.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
44,weak,absent,allimgs/weak_absent_00951.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
45,equal,present,allimgs/equal_present_00343.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
46,equal,present,allimgs/equal_present_00355.png,allimgs,,,openai,gpt-4o-mini,confidence: 7,7,1,0.000
47,equal,absent,allimgs/equal_absent_00024.png,allimgs,,,openai,gpt-4o-mini,confidence: 4,4,0,0.000
48,equal,absent,allimgs/equal_absent_00044.png,allimgs,,,openai,gpt-4o-mini,confidence: 3,3,0,0.000
49,equal,present,allimgs/equal_present_00244.png,allimgs,,,openai,gpt-4o-mini,confidence: 6,6,1,0.000
